source,target,relation
dataset_0,field_0,HAS_FIELD
field_0,dcfield_0,MAPPED_TO
field_0,value_0,HAS_VALUE
dataset_1,field_1,HAS_FIELD
field_1,dcfield_1,MAPPED_TO
field_1,value_1,HAS_VALUE
dataset_2,field_2,HAS_FIELD
field_2,dcfield_2,MAPPED_TO
field_2,value_2,HAS_VALUE
dataset_3,field_3,HAS_FIELD
field_3,dcfield_3,MAPPED_TO
field_3,value_3,HAS_VALUE
dataset_4,field_4,HAS_FIELD
field_4,dcfield_4,MAPPED_TO
field_4,value_4,HAS_VALUE
dataset_5,field_5,HAS_FIELD
field_5,dcfield_5,MAPPED_TO
field_5,value_5,HAS_VALUE
dataset_6,field_6,HAS_FIELD
field_6,dcfield_6,MAPPED_TO
field_6,value_6,HAS_VALUE
dataset_7,field_7,HAS_FIELD
field_7,dcfield_7,MAPPED_TO
field_7,value_7,HAS_VALUE
dataset_8,field_8,HAS_FIELD
field_8,dcfield_8,MAPPED_TO
field_8,value_8,HAS_VALUE
dataset_9,field_9,HAS_FIELD
field_9,dcfield_9,MAPPED_TO
field_9,value_9,HAS_VALUE
dataset_10,field_10,HAS_FIELD
field_10,dcfield_10,MAPPED_TO
field_10,value_10,HAS_VALUE
dataset_11,field_11,HAS_FIELD
field_11,dcfield_11,MAPPED_TO
field_11,value_11,HAS_VALUE
dataset_12,field_12,HAS_FIELD
field_12,dcfield_12,MAPPED_TO
field_12,value_12,HAS_VALUE
dataset_13,field_13,HAS_FIELD
field_13,dcfield_13,MAPPED_TO
field_13,value_13,HAS_VALUE
dataset_14,field_14,HAS_FIELD
field_14,dcfield_14,MAPPED_TO
field_14,value_14,HAS_VALUE
dataset_15,field_15,HAS_FIELD
field_15,dcfield_15,MAPPED_TO
field_15,value_15,HAS_VALUE
dataset_16,field_16,HAS_FIELD
field_16,dcfield_16,MAPPED_TO
field_16,value_16,HAS_VALUE
dataset_17,field_17,HAS_FIELD
field_17,dcfield_17,MAPPED_TO
field_17,value_17,HAS_VALUE
dataset_18,field_18,HAS_FIELD
field_18,dcfield_18,MAPPED_TO
field_18,value_18,HAS_VALUE
dataset_19,field_19,HAS_FIELD
field_19,dcfield_19,MAPPED_TO
field_19,value_19,HAS_VALUE
dataset_20,field_20,HAS_FIELD
field_20,dcfield_20,MAPPED_TO
field_20,value_20,HAS_VALUE
dataset_21,field_21,HAS_FIELD
field_21,dcfield_21,MAPPED_TO
field_21,value_21,HAS_VALUE
dataset_22,field_22,HAS_FIELD
field_22,dcfield_22,MAPPED_TO
field_22,value_22,HAS_VALUE
dataset_23,field_23,HAS_FIELD
field_23,dcfield_23,MAPPED_TO
field_23,value_23,HAS_VALUE
dataset_24,field_24,HAS_FIELD
field_24,dcfield_24,MAPPED_TO
field_24,value_24,HAS_VALUE
dataset_25,field_25,HAS_FIELD
field_25,dcfield_25,MAPPED_TO
field_25,value_25,HAS_VALUE
dataset_26,field_26,HAS_FIELD
field_26,dcfield_26,MAPPED_TO
field_26,value_26,HAS_VALUE
dataset_27,field_27,HAS_FIELD
field_27,dcfield_27,MAPPED_TO
field_27,value_27,HAS_VALUE
dataset_28,field_28,HAS_FIELD
field_28,dcfield_28,MAPPED_TO
field_28,value_28,HAS_VALUE
dataset_29,field_29,HAS_FIELD
field_29,dcfield_29,MAPPED_TO
field_29,value_29,HAS_VALUE
dataset_30,field_30,HAS_FIELD
field_30,dcfield_30,MAPPED_TO
field_30,value_30,HAS_VALUE
dataset_31,field_31,HAS_FIELD
field_31,dcfield_31,MAPPED_TO
field_31,value_31,HAS_VALUE
dataset_32,field_32,HAS_FIELD
field_32,dcfield_32,MAPPED_TO
field_32,value_32,HAS_VALUE
dataset_33,field_33,HAS_FIELD
field_33,dcfield_33,MAPPED_TO
field_33,value_33,HAS_VALUE
dataset_34,field_34,HAS_FIELD
field_34,dcfield_34,MAPPED_TO
field_34,value_34,HAS_VALUE
dataset_35,field_35,HAS_FIELD
field_35,dcfield_35,MAPPED_TO
field_35,value_35,HAS_VALUE
dataset_36,field_36,HAS_FIELD
field_36,dcfield_36,MAPPED_TO
field_36,value_36,HAS_VALUE
dataset_37,field_37,HAS_FIELD
field_37,dcfield_37,MAPPED_TO
field_37,value_37,HAS_VALUE
dataset_38,field_38,HAS_FIELD
field_38,dcfield_38,MAPPED_TO
field_38,value_38,HAS_VALUE
dataset_39,field_39,HAS_FIELD
field_39,dcfield_39,MAPPED_TO
field_39,value_39,HAS_VALUE
dataset_40,field_40,HAS_FIELD
field_40,dcfield_40,MAPPED_TO
field_40,value_40,HAS_VALUE
dataset_41,field_41,HAS_FIELD
field_41,dcfield_41,MAPPED_TO
field_41,value_41,HAS_VALUE
dataset_42,field_42,HAS_FIELD
field_42,dcfield_42,MAPPED_TO
field_42,value_42,HAS_VALUE
dataset_43,field_43,HAS_FIELD
field_43,dcfield_43,MAPPED_TO
field_43,value_43,HAS_VALUE
dataset_44,field_44,HAS_FIELD
field_44,dcfield_44,MAPPED_TO
field_44,value_44,HAS_VALUE
dataset_45,field_45,HAS_FIELD
field_45,dcfield_45,MAPPED_TO
field_45,value_45,HAS_VALUE
dataset_46,field_46,HAS_FIELD
field_46,dcfield_46,MAPPED_TO
field_46,value_46,HAS_VALUE
dataset_47,field_47,HAS_FIELD
field_47,dcfield_47,MAPPED_TO
field_47,value_47,HAS_VALUE
dataset_48,field_48,HAS_FIELD
field_48,dcfield_48,MAPPED_TO
field_48,value_48,HAS_VALUE
dataset_49,field_49,HAS_FIELD
field_49,dcfield_49,MAPPED_TO
field_49,value_49,HAS_VALUE
value_50,concept_50_0,NORMALIZED_TO
dataset_50,field_50,HAS_FIELD
field_50,dcfield_50,MAPPED_TO
field_50,value_50,HAS_VALUE
dataset_51,field_51,HAS_FIELD
field_51,dcfield_51,MAPPED_TO
field_51,value_51,HAS_VALUE
value_52,concept_52_0,NORMALIZED_TO
dataset_52,field_52,HAS_FIELD
field_52,dcfield_52,MAPPED_TO
field_52,value_52,HAS_VALUE
dataset_53,field_53,HAS_FIELD
field_53,dcfield_53,MAPPED_TO
field_53,value_53,HAS_VALUE
dataset_54,field_54,HAS_FIELD
field_54,dcfield_54,MAPPED_TO
field_54,value_54,HAS_VALUE
dataset_55,field_55,HAS_FIELD
field_55,dcfield_55,MAPPED_TO
field_55,value_55,HAS_VALUE
value_56,concept_56_0,NORMALIZED_TO
dataset_56,field_56,HAS_FIELD
field_56,dcfield_56,MAPPED_TO
field_56,value_56,HAS_VALUE
value_57,concept_57_0,NORMALIZED_TO
dataset_57,field_57,HAS_FIELD
field_57,dcfield_57,MAPPED_TO
field_57,value_57,HAS_VALUE
dataset_58,field_58,HAS_FIELD
field_58,dcfield_58,MAPPED_TO
field_58,value_58,HAS_VALUE
