id,name,type
dataset_0,EHR,Dataset
field_0,patient_id,Field
dcfield_0,identifier,DublinCore
value_0,P000001,Value
dataset_1,EHR,Dataset
field_1,patient_id,Field
dcfield_1,identifier,DublinCore
value_1,P000002,Value
dataset_2,EHR,Dataset
field_2,patient_id,Field
dcfield_2,identifier,DublinCore
value_2,P000003,Value
dataset_3,EHR,Dataset
field_3,patient_id,Field
dcfield_3,identifier,DublinCore
value_3,P000004,Value
dataset_4,EHR,Dataset
field_4,patient_id,Field
dcfield_4,identifier,DublinCore
value_4,P000005,Value
dataset_5,EHR,Dataset
field_5,patient_id,Field
dcfield_5,identifier,DublinCore
value_5,P000006,Value
dataset_6,EHR,Dataset
field_6,patient_id,Field
dcfield_6,identifier,DublinCore
value_6,P000007,Value
dataset_7,EHR,Dataset
field_7,patient_id,Field
dcfield_7,identifier,DublinCore
value_7,P000008,Value
dataset_8,EHR,Dataset
field_8,patient_id,Field
dcfield_8,identifier,DublinCore
value_8,P000009,Value
dataset_9,EHR,Dataset
field_9,patient_id,Field
dcfield_9,identifier,DublinCore
value_9,P000010,Value
dataset_10,EHR,Dataset
field_10,patient_id,Field
dcfield_10,identifier,DublinCore
value_10,P000011,Value
dataset_11,EHR,Dataset
field_11,patient_id,Field
dcfield_11,identifier,DublinCore
value_11,P000012,Value
dataset_12,EHR,Dataset
field_12,patient_id,Field
dcfield_12,identifier,DublinCore
value_12,P000013,Value
dataset_13,EHR,Dataset
field_13,patient_id,Field
dcfield_13,identifier,DublinCore
value_13,P000014,Value
dataset_14,EHR,Dataset
field_14,patient_id,Field
dcfield_14,identifier,DublinCore
value_14,P000015,Value
dataset_15,EHR,Dataset
field_15,patient_id,Field
dcfield_15,identifier,DublinCore
value_15,P000016,Value
dataset_16,EHR,Dataset
field_16,patient_id,Field
dcfield_16,identifier,DublinCore
value_16,P000017,Value
dataset_17,EHR,Dataset
field_17,patient_id,Field
dcfield_17,identifier,DublinCore
value_17,P000018,Value
dataset_18,EHR,Dataset
field_18,patient_id,Field
dcfield_18,identifier,DublinCore
value_18,P000019,Value
dataset_19,EHR,Dataset
field_19,patient_id,Field
dcfield_19,identifier,DublinCore
value_19,P000020,Value
dataset_20,EHR,Dataset
field_20,patient_id,Field
dcfield_20,identifier,DublinCore
value_20,P000021,Value
dataset_21,EHR,Dataset
field_21,patient_id,Field
dcfield_21,identifier,DublinCore
value_21,P000022,Value
dataset_22,EHR,Dataset
field_22,patient_id,Field
dcfield_22,identifier,DublinCore
value_22,P000023,Value
dataset_23,EHR,Dataset
field_23,patient_id,Field
dcfield_23,identifier,DublinCore
value_23,P000024,Value
dataset_24,EHR,Dataset
field_24,patient_id,Field
dcfield_24,identifier,DublinCore
value_24,P000025,Value
dataset_25,EHR,Dataset
field_25,patient_id,Field
dcfield_25,identifier,DublinCore
value_25,P000026,Value
dataset_26,EHR,Dataset
field_26,patient_id,Field
dcfield_26,identifier,DublinCore
value_26,P000027,Value
dataset_27,EHR,Dataset
field_27,patient_id,Field
dcfield_27,identifier,DublinCore
value_27,P000028,Value
dataset_28,EHR,Dataset
field_28,patient_id,Field
dcfield_28,identifier,DublinCore
value_28,P000029,Value
dataset_29,EHR,Dataset
field_29,patient_id,Field
dcfield_29,identifier,DublinCore
value_29,P000030,Value
dataset_30,EHR,Dataset
field_30,patient_id,Field
dcfield_30,identifier,DublinCore
value_30,P000031,Value
dataset_31,EHR,Dataset
field_31,patient_id,Field
dcfield_31,identifier,DublinCore
value_31,P000032,Value
dataset_32,EHR,Dataset
field_32,patient_id,Field
