id,label,name,ontology,code,uri,synonyms
dataset_0,Dataset,EHR,,,,
field_0,Field,patient_id,,,,
dcfield_0,DublinCore,identifier,,,,
value_0,Value,P000001,,,,
dataset_1,Dataset,EHR,,,,
field_1,Field,patient_id,,,,
dcfield_1,DublinCore,identifier,,,,
value_1,Value,P000002,,,,
dataset_2,Dataset,EHR,,,,
field_2,Field,patient_id,,,,
dcfield_2,DublinCore,identifier,,,,
value_2,Value,P000003,,,,
dataset_3,Dataset,EHR,,,,
field_3,Field,patient_id,,,,
dcfield_3,DublinCore,identifier,,,,
value_3,Value,P000004,,,,
dataset_4,Dataset,EHR,,,,
field_4,Field,patient_id,,,,
dcfield_4,DublinCore,identifier,,,,
value_4,Value,P000005,,,,
dataset_5,Dataset,EHR,,,,
field_5,Field,patient_id,,,,
dcfield_5,DublinCore,identifier,,,,
value_5,Value,P000006,,,,
dataset_6,Dataset,EHR,,,,
field_6,Field,patient_id,,,,
dcfield_6,DublinCore,identifier,,,,
value_6,Value,P000007,,,,
dataset_7,Dataset,EHR,,,,
field_7,Field,patient_id,,,,
dcfield_7,DublinCore,identifier,,,,
value_7,Value,P000008,,,,
dataset_8,Dataset,EHR,,,,
field_8,Field,patient_id,,,,
dcfield_8,DublinCore,identifier,,,,
value_8,Value,P000009,,,,
dataset_9,Dataset,EHR,,,,
field_9,Field,patient_id,,,,
dcfield_9,DublinCore,identifier,,,,
value_9,Value,P000010,,,,
dataset_10,Dataset,EHR,,,,
field_10,Field,patient_id,,,,
dcfield_10,DublinCore,identifier,,,,
value_10,Value,P000011,,,,
dataset_11,Dataset,EHR,,,,
field_11,Field,patient_id,,,,
dcfield_11,DublinCore,identifier,,,,
value_11,Value,P000012,,,,
dataset_12,Dataset,EHR,,,,
field_12,Field,patient_id,,,,
dcfield_12,DublinCore,identifier,,,,
value_12,Value,P000013,,,,
dataset_13,Dataset,EHR,,,,
field_13,Field,patient_id,,,,
dcfield_13,DublinCore,identifier,,,,
value_13,Value,P000014,,,,
dataset_14,Dataset,EHR,,,,
field_14,Field,patient_id,,,,
dcfield_14,DublinCore,identifier,,,,
value_14,Value,P000015,,,,
dataset_15,Dataset,EHR,,,,
field_15,Field,patient_id,,,,
dcfield_15,DublinCore,identifier,,,,
value_15,Value,P000016,,,,
dataset_16,Dataset,EHR,,,,
field_16,Field,patient_id,,,,
dcfield_16,DublinCore,identifier,,,,
value_16,Value,P000017,,,,
dataset_17,Dataset,EHR,,,,
field_17,Field,patient_id,,,,
dcfield_17,DublinCore,identifier,,,,
value_17,Value,P000018,,,,
dataset_18,Dataset,EHR,,,,
field_18,Field,patient_id,,,,
dcfield_18,DublinCore,identifier,,,,
value_18,Value,P000019,,,,
dataset_19,Dataset,EHR,,,,
field_19,Field,patient_id,,,,
dcfield_19,DublinCore,identifier,,,,
value_19,Value,P000020,,,,
